rank,name,handle,followers,er,topics
168,Ana Recetas Fáciles y Delis,@cocinargenial,1.8M,1.66%,"Food and Drink, Food"
169,Gala Gonzalez,@galagonzalez,1.8M,0.2%,Fashion and Accessories
170,Fútbol Al Revés,@futbolalreves,1.7M,8.96%,"Sports, Soccer, Actors, Virtualization"
171,Laura Sanchez Hernandez,@laurasanchezh_,1.7M,0.92%,"Fashion and Accessories, Beauty and Self Care, Business and Finance, Actors"
172,India Martínez,@india_martinez_oficial,1.7M,1.39%,"Fashion, Actors"
173,Jan Oblak,@oblakjan,1.7M,2.54%,Soccer
174,Salomé Mata - Recetas,@salomecocina,1.7M,0.53%,"Food and Drink, Food"
175,Marina Román & Francisco,@travelsandvibes,1.7M,2.03%,"Travel, Lifestyle"
176,Barça Futbol Sala,@fcbfutsal,1.7M,0.29%,Soccer
177,Aymeric Laporte ⓮,@laporte,1.7M,4.6%,"Sports, Soccer"
178,PlayGround,@playgroundmag,1.6M,0.4%,"Entertainment and Music, News, News & Politics"
179,Kale Anders,@kaleanderss,1.6M,1.11%,"Education, Upskilling"
180,Paco Alcacer,@paco93alcacer,1.6M,0.7%,"Sports, Soccer"
181,SURY SADAI VAUGHN,@surysadaiof,1.6M,2.91%,"Art, Actors, Modeling"
182,David Silva,@david21lva,1.6M,2.5%,"Sports, Soccer"
183,🦁Sofia Moreno🦁,@sofia_surferss,1.6M,2.5%,"Entertainment and Music, Arts and Crafts, Automotive, Lifestyle"
184,Tamara Falcó,@tamara_falco,1.6M,0.67%,"Food, Actors, Modeling"
185,SKILLER,@skiller,1.6M,0.15%,"Art, Soccer"
186,⚡️ Guillem Ojeda ⚡️,@guillemojeda,1.6M,0.09%,"Entertainment and Music, Fashion and Accessories, Actors"
187,verdeliss | Estefi Unzu,@verdeliss,1.6M,0.72%,"Beauty and Self Care, family, Actors"
188,Martita de Graná,@martita_de_grana,1.6M,2.89%,"Entertainment and Music, Celebrity, Actors, Comedian"
189,Richard Duchon,@richard_duchon,1.6M,0.99%,"Fitness and Health, Gym, Coaching"
190,Agustin51,@imagus51,1.6M,4.42%,"Entertainment and Music, Funny, Video Blogger, Lifestyle"
191,Ramon Garriga,@gluten.morgen,1.6M,4.51%,"Food, Education, Marketing and Advertising, Chef"
192,Alex Márquez Alentà,@alexmarquez73,1.6M,3.28%,"Sports, Riders, Motorcycle Racing"
193,Tu Horóscopo 24 🔵,@tuhoroscopo24,1.6M,0.17%,"Education, Business and Finance, Coaching, Actors"
194,Roksana Węgiel-Mglej,@roxie_wegiel,1.6M,3.06%,Fashion and Accessories
