rank,name,handle,followers,er,topics
883,Elena,@misswinter,456.6K,0.05%,"Travel, Marketing and Advertising, Lifestyle, Architecture"
884,SARA BUENO,@sarabuho,456.6K,2.42%,"Arts and Crafts, Actors, Lifestyle, Film, Music & Books"
885,Rebel Elena🌺,@rebel_elena,456.4K,0.3%,Fashion and Accessories
886,Fiuna - Cuchi,@cuchilaino,456.3K,0.88%,"Entertainment and Music, Funny, Life and Society, Actors"
887,𝕵𝖚𝖉𝖎𝖙,@superstarbarby,456K,-,
888,Ｍａｎｕ Ｇｏｎｚáｌｅｚ,@manugrodri,454.5K,3.24%,"Food, Travel"
889,Transfermarkt España 🇪🇸,@transfermarkt.es,454.1K,1.13%,
890,Álvaro Negredo 9️⃣,@alvaronegredo9,453.7K,1.25%,"Sports, Gamer"
891,Dalianah Arekion,@dalianaharekion,453.7K,1.81%,"Fashion and Accessories, Actors, Modeling, Public Figure"
892,,@ricoblanco100,453.6K,1.57%,"Music, Songwriting, Singer"
893,Izabela Izycka,@izzycka,453.1K,1.05%,"Beauty and Self Care, Fashion and Accessories, Business and Finance"
894,J U L E N,@julendlg,453.1K,0.38%,"Fashion and Accessories, Actors, Modeling"
895,Lola Moran,@lolitamoran,452.7K,0.44%,"Acting and Drama, Actors"
896,SERGIO CELLI,@cellisergio,452.2K,1.94%,"Fashion and Accessories, Automotive, Actors"
897,Polibamba Humor 👨🏾‍✈️,@polibamba,451.9K,1.78%,Entertainment and Music
898,Vanesa Lorenzo,@vanesalorenzo_,451.4K,0.73%,"Fitness and Health, Education"
899,Tamara Sanchez • Decoración y Orden en Casa,@tamishome,451.4K,1.16%,
900,Ruxanda Ghemis,@ruxandaghemis,450.3K,1.86%,"family, Home and Garden, Video Gaming"
901,Sandra Alcazar,@sandraalcazara,450.3K,0.69%,"Entertainment and Music, Marketing and Advertising, Actors, Journalists"
902,Jorge Prado Garcia,@jorgeprado61,449.7K,2.19%,"Sports, Riders, Motorcycle Racing"
903,Kevin Freshwater,@kevinfreshwater,449.5K,43.57%,"Funny, Celebrity, Dogs, Modeling"
904,César Ortiz,@cesarortiz,449K,0.51%,Education
905,𝑴𝑨𝑬𝒀𝑨 𝑵𝑶𝑵𝑻𝑯𝑨𝑾𝑨𝑵𝑻𝑨𝑺,@maeyagirl,447.1K,0.18%,"Fashion and Accessories, Actors, Moms, Lifestyle"
906,Mery García Butrón,@cocinaparatodos,445.7K,0.82%,"Fashion, Lifestyle"
907,Victor Chil / Family Art Tattoo Born,@victor_chil,445.6K,0.56%,"Arts and Crafts, Fashion and Accessories, Piercing"
908,Jose AM,@joseamdj,445.1K,0.41%,"Entertainment and Music, Education, Music, Actors"
909,Patricia Pastor,@justalpatri,445.1K,0.17%,"Fashion, Beauty, Fashion and Accessories"
910,Samuel Sunderland Arata,@samsunderland23,444.9K,6.2%,"Acting and Drama, Actors"
911,Clara Alvarado,@claraalvarado_,444.6K,0.67%,"Fashion and Accessories, Arts and Crafts, Actors, Modeling"
912,ROCÍO OSORNO • STUDIO,@rocioosornostudio,443.9K,0.35%,"Fashion and Accessories, Celebrities, Hair & Beauty, Design"
913,Jano García,@ellibrepensador,443.8K,5.12%,
914,Peppa la costeña,@peppalacostena,442.3K,2.29%,"Entertainment and Music, Actors"
915,Ellas y solo ellas (May Rondón),@culturademujeres,440.5K,14.22%,"Business and Finance, Virtualization, Actors"
916,Eloroverde,@eloroverdegrowshop,440.1K,1.64%,"Home and Garden, Actors, Virtualization"
917,POL BADÍA,@pol_badia,440K,0.41%,Fashion and Accessories
918,Jesus Crazy,@jesuscrazyofficial,440K,0.97%,"Celebrity, Art, Actors"
919,Silvia García BARTABAC,@bartabacmode,439.5K,0.51%,"Fashion and Accessories, Lifestyle"
920,Jorge Diaz,@jorgejavier_diaz,439.4K,2.9%,"Fashion and Accessories, Parenting"
921,Weloversize,@weloversize,438.9K,0.23%,"Shopping, Lifestyle, Actors, Entrepreneur"
922,Maria Castellanos,@mariacastellanos,438.2K,0.3%,"Beauty and Self Care, Fashion and Accessories, Parenting, Modeling"
923,Mario Ortiz Nutrición,@marioortiznutricion,437.1K,2.3%,"Fitness and Health, Food, Marketing and Advertising, Health"
924,SORAYA,@soraya82,437.1K,0.56%,"Entertainment and Music, Actors, Journalists"
925,Dra. Dalia Rodríguez,@neuropsicologadalia,436.6K,0.61%,Education
926,Andrea Compton,@andreacomptonn,436.5K,4.97%,"Entertainment and Music, Actors, Journalists, Film, Music & Books"
927,LAURA GADEA ♥,@lau_gadea,436.2K,0.47%,Fashion and Accessories
928,𝗝𝗲𝘀𝘂́𝘀 𝗦𝗮́𝗻𝗰𝗵𝗲𝘇 𝗦𝗲𝗱𝗮,@jesuseda,435.8K,2.14%,Entertainment and Music
929,Angel Albarracin❤️,@angeltik_ars,435.6K,1.6%,Marketing and Advertising
930,TAY | IT,@tay054,434.6K,0.94%,"Upskilling, Parenting"
931,Karol G España 🌸,@karolgphotos,434.6K,1.12%,"Photography, Actors, Music"
932,Jessi Franquet🌸Estilo de vida | Crecimiento personal,@jessi_franquet,433.2K,0.3%,"Beauty and Self Care, Fashion and Accessories, Travel, Entertainment and Music"
933,LUISKI GARCIA 🔥❣️,@luiski_26,432.4K,13.37%,Fashion and Accessories
934,"ANE HERNANDO | Moda casual, cosmética y viajes",@lookandchic,431.9K,0.68%,"Fashion and Accessories, Beauty and Self Care, Arts and Crafts, Lifestyle"
935,RUDY RUYMÁN,@rudyruymanoficial,431.8K,0.15%,"Entertainment and Music, Business and Finance"
936,Ana María Villalba,@ana_listas,431.1K,2.72%,"Education, Actors"
937,Martina De Caramelo ❤️,@martinadecaramelo,430.9K,0.43%,"Funny, Marketing and Advertising, Actors"
938,Dr. Daniel Slobodianik 🇻🇪,@slobodianik,430.6K,0.51%,"Beauty and Self Care, Film, Music & Books, Animals & Pets"
939,Nuria MH,@nuria.mh,430.5K,1.05%,Fashion
940,Iréne Noren,@irenenoren,429.9K,0.43%,"Arts and Crafts, Adventure, Film, Music & Books, Architecture"
941,Roenlared,@roenlared,429.4K,1.94%,"Education, Entertainment and Music, Actors, Modeling"
942,Roger Llobet,@llobeti4,429.3K,4.06%,Entertainment and Music
943,Pepe Reina,@preinaofficial,429.3K,1.12%,Soccer
944,Jinx 🐈‍⬛,@bigfootjinx,429.2K,25.45%,
945,,@trapitoscalientes,429.1K,0.7%,
946,Nieves Álvarez,@officialnievesa,428.9K,0.59%,"Fashion and Accessories, Entertainment and Music, Marketing and Advertising, Actors"
947,Camila Cruz Escobar,@camilacruzzbb,427.4K,0.89%,Fitness
948,Memes,@yisucriisto,427.4K,-,"Funny, Music"
949,Cristina Verdú 🌿 Travel / Vegan / Curly,@cristinaverdu,427.2K,10.13%,"Travel, Fitness and Health, Beauty and Self Care, Actors"
950,Davide Morana,@davidebartolomorana,425.4K,3.99%,"Fitness and Health, Actors, Modeling"
951,🌺 ▪︎▪︎BιkᥱGιrᥣ▪︎▪︎ R6👊,@cristinaavalosclari_rr,425.1K,1.62%,
952,VIDEO BARCELONA • Reels • ВИДЕО БАРСЕЛОНА,@guapa.para.papa,424K,0.01%,"Beauty and Self Care, Marketing and Advertising"
953,Genma Ferron,@stylewithgee,423.4K,0.01%,"Fashion and Accessories, Styling, Lifestyle"
954,Natalia Seth,@escapingyouth,423.1K,9.86%,"Arts and Crafts, Photography, Design, Architecture"
955,Ministerio de Sanidad,@sanidadgob,423K,0.24%,
956,MonyWTF,@monywtf_,422.8K,0.46%,"Television, Actors, Modeling, Video Creator"
957,Oliver Vegas,@ovunno,422.3K,1.6%,"Travel, Arts and Crafts, Photography, Design"
958,Linda,@linda.raff,421.7K,10%,"Product Showcase, Actors"
959,recetas del chef 👩‍🍳,@recetas_del_chef_,421.6K,0.4%,Food
960,مصطفى ستار,@mustafasattar95,421.3K,3.96%,"Acting and Drama, Entertainment and Music, Lifestyle"
961,Valeria Monerri,@valeriaamonerri,420.7K,0.56%,"Fashion and Accessories, Beauty and Self Care, Lifestyle, Modeling"
962,Katteyes | FS,@iamfverv,420.1K,3.13%,Beauty and Self Care
963,𝑲𝒉𝒂𝒓𝒊𝒔𝒎𝒂 𝒄𝒂𝒉𝒂𝒚𝒂 𝒑𝒖𝒕𝒓𝒊,@ewkharis_ofcc,419.9K,0.4%,
964,Secretos de Madrid,@secretosdemadrid,419.8K,2.24%,"Travel, Actors, Journalists, Nature & Outdoors"
965,Kike Arnaiz,@kikearnaiz,419.5K,2.14%,"Photography, Travel, Actors, Lifestyle"
966,Maikel Delacalle,@delacallemaikel,418.7K,1.17%,Entertainment and Music
967,Jose Antonio Cacho,@cachoo01,418.6K,10.84%,"News, Soccer, Actors"
968,Merche,@buscandoinspiracion,418.3K,0.22%,"Fashion and Accessories, Marketing and Advertising, Lifestyle, Hair & Beauty"
969,Pachu M. Torres ART,@pachutorresart,417.8K,2%,
970,RC Celta,@rccelta,417.6K,1.44%,"Sports, Soccer"
971,𝐒𝐨𝐧𝐢𝐲𝐚 𝐌𝐚𝐦 👩🏻‍🎓,@english.speak.hub,417.2K,0.36%,
972,Carlos Vallesa,@vallesa._,417.1K,0.62%,"Auto and Vehicles, Automotive, Cars, Audi"
973,Marc O'Polo,@marcopolo,417K,0.08%,"Fashion and Accessories, Styling, Lifestyle"
974,Jennifer Baldini,@jenniferbaldini97,416.8K,1.45%,"Automotive, Actors"
975,David Rocaberti | Travel Photography,@davidrocaberti,416.4K,1.16%,"Finance, Education, Landscaping, Architecture"
976,Alvaro Bautista,@abautista19,415.8K,1.62%,"Riders, Motorcycle Racing"
977,Borja Iglesias Quintás,@borjaiglesias9,415K,1.27%,"Sports, Soccer, Journalists"
978,Krayg Peña ⚓️,@kraygoficial,414.8K,0.62%,"Entertainment and Music, Marketing and Advertising, Actors, Modeling"
979,Júlio Baptista,@juliobaptistaoficial,413.9K,0.6%,"Sports, Soccer"
980,Manuel Huedo,@manuelhuedo,413.6K,4.11%,"Actors, Health & Fitness"
981,Carolina Iglesias,@percebesygrelos,412.6K,1.42%,"Entertainment and Music, Celebrity, Actors, Journalists"
982,Willy Hernangómez,@willyhernangomez,412.4K,3.7%,"Sports, Basketball, Soccer"
983,Lucía Villalón Puras,@lucia_villalon,412.2K,0.7%,"Entertainment and Music, Sports, Actors"
984,Redry - David Galán,@redry13,412K,0.41%,"Arts and Crafts, Film, Music & Books, Animals & Pets"
985,yana clare,@yanaclare,411.6K,10.26%,
986,Isabel Jiménez,@isabeljimenezt5,411.5K,1.46%,Journalists
987,LAS LEYENDAS NUNCA MUEREN,@anuel_2blea_g4,411.4K,0.13%,"Entertainment and Music, News, Basketball, Actors"
988,Guillermo Martín,@farmacia_enfurecida,411.3K,1.6%,"Education, Upskilling, Life and Society"
989,DJ MAH Michael Andreas,@michaelandreasmusic,411.2K,3.38%,"Entertainment and Music, Music"
990,Beyby,@bearsaez,410.1K,0.41%,"Fashion and Accessories, Actors, Modeling"
991,C.Ronaldo500_,@c.ronaldo500_,409.9K,0.5%,Soccer
992,Agatha Ruiz de la Prada,@agatharuizdlprada,409.6K,0.25%,"Fashion and Accessories, Home and Garden, Actors, Journalists"
993,Diego Matamoros Flores,@diegomatflo,409.4K,0.55%,"Entertainment and Music, Acting and Drama, Actors"
994,Amarna,@amarnamiller,409.4K,0.53%,Video Gaming
995,Malena Costa Sjögren,@malenacosta7,409.3K,0.38%,"Fashion and Accessories, Actors, Lifestyle"
996,Teresa Sala,@vanillaattack,409.2K,0.37%,"Fashion and Accessories, family, Arts and Crafts, Parenting"
997,Héctor Campoy,@hectormerienda,408.5K,0.14%,"Arts and Crafts, Automotive, Lifestyle, Architecture"
998,Altafulla,@altafulla,408.5K,0.41%,"Art, Actors, Music, Celebrities"
999,Celeste Iannelli,@celesteiann,407.8K,4.89%,"Education, Upskilling, Romance and Wedding, Video Gaming"
1000,Alicia Aradilla,@a.aradilla,407.4K,1.87%,"Travel, Illustrator, Design, Architecture"
